Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
590122.0,BSE,Ashika Credit Capital Limited,ASHIKACR,ASHIKA CREDIT CAPITAL LTD.,Active,X ,10.0,INE094B01013,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),,,,,,,
