Security Code,Type,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Date,Open,High,Low,Close,Adj Close,Volume
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
520123.0,BSE,ABC India Ltd.,ABCINDQ,ABC INDIA LTD.-$,Active,X ,10.0,INE125D01011,Road Transport,Equity,Services,Services,Transport Services,Road Transport,,,,,,,
